,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
0,https://www.blablacar.it/passaggio-milano-piombino-767713880,2017-03-31,05:40:00,Milano,45.443210602,9.167404175,"Milano Romolo, 20143 Milano, Italia",Piombino,42.928630829,10.544556618,"Stazione Piombino Marittima, Piombino",24.0,386,2,2,767713880-milano-piombino,"[Milano, Piombino]",manual,online
1,https://www.blablacar.it/passaggio-milano-marina-di-carrara-771519005,2017-03-31,06:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Marina Di Carrara,44.0359679,10.0438256,"Marina di Carrara, MS",10.5,234,3,3,771519005-milano-marina-di-carrara,"[Milano, Marina Di Carrara]",manual,online
2,https://www.blablacar.it/passaggio-milano-aeroporto-di-bergamo-orio-al-serio-orio-al-serio-bergamo-765655590,2017-03-31,06:40:39,Milano,45.46549,9.18588,"Milano, MI","Aeroporto di Bergamo / Orio al Serio, Orio al serio, Bergamo",45.6695707,9.7036313,"Aeroporto di Bergamo / Orio al Serio, Orio al serio, Bergamo",3.0,52,3,3,765655590-milano-aeroporto-di-bergamo-orio-al-serio-orio-al-serio-bergamo,[Milano],manual,online
3,https://www.blablacar.it/passaggio-milano-lavagna-770007175,2017-03-31,07:00:00,Milano,45.4682126,9.1758203,"Cadorna FN M2, Milano, MI",Lavagna,44.2923026,9.3751106,cavi di lavagna,14.0,182,3,4,770007175-milano-lavagna,"[Milano, Lavagna]",auto,online
4,https://www.blablacar.it/passaggio-milan-bale-770157715,2017-03-31,07:00:00,Milano,45.48604357,9.216095656,"Loreto M1-M2, Milano",Basilea,47.5595986,7.5885761,"Bâle, Suisse",20.5,345,4,4,770157715-milan-bale,"[Milano, Basilea, Les Ulis]",manual,online
5,https://www.blablacar.it/passaggio-milano-roma-769785605,2017-03-31,07:00:00,Milano,45.4842475,9.2348298,"Lambrate Fs, 20131 Milano, Italia",Roma,41.8395609,12.4635383,"EUR Magliana, Via Castelrosso, 00144 Roma, Italia",28.5,597,1,3,769785605-milano-roma,"[Milano, Roma]",manual,online
6,https://www.blablacar.it/passaggio-milano-torino-770210090,2017-03-31,07:00:24,Milano,45.468491,9.1552276,"Wagner, Milano, Italia",Torino,45.0620791,7.6784795,"Torino Porta Nuova, 10121 Torino, Italia",8.5,142,3,3,770210090-milano-torino,"[Milano, Torino]",auto,online
7,https://www.blablacar.it/passaggio-milano-genova-771959365,2017-03-31,07:00:28,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Genova,44.4081285,8.9215209,"Via Magazzini del Cotone, 16128 Genova, Italia",5.5,140,3,3,771959365-milano-genova,"[Milano, Genova]",auto,online
8,https://www.blablacar.it/passaggio-milano-bergamo-753806780,2017-03-31,07:30:00,Milano,45.4807629,9.2239914,"Piazzale Gabrio Piola, Milano, MI",Bergamo,45.69061,9.674822,"Stazione Ferroviaria, Bergamo",4.0,47,2,2,753806780-milano-bergamo,"[Milano, Bergamo]",manual,online
9,https://www.blablacar.it/passaggio-milano-lugano-767563320,2017-03-31,07:30:00,Milano,45.4836761,9.1880191,"Garibaldi-Isola, Milano, MI",Lugano,46.0036778,8.951052,"Lugano, Svizzera",7.5,77,1,1,767563320-milano-lugano,"[Milano, Lugano]",manual,online
10,https://www.blablacar.it/passaggio-milano-genova-770250660,2017-03-31,07:30:00,Milano,45.465499878,9.185879707,"Milano, MI",Genova,44.405700684,8.946260452,"Genova, GE",9.5,148,3,3,770250660-milano-genova,"[Milano, Genova]",manual,online
11,https://www.blablacar.it/passaggio-milano-genova-771136805,2017-03-31,07:30:00,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Genova,44.4168921,8.9215322,"Genova Piazza Principe, 16134 Genova, Italia",9.5,133,3,3,771136805-milano-genova,"[Milano, Genova]",auto,online
12,https://www.blablacar.it/passaggio-milano-firenze-771615550,2017-03-31,07:30:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Firenze,43.7695604,11.2558136,"Firenze, FI, Italia",17.5,318,4,4,771615550-milano-firenze,"[Milano, Firenze]",auto,online
13,https://www.blablacar.it/passaggio-milano-rimini-770394710,2017-03-31,08:00:00,Milano,45.4654219,9.1859243,Milano,Rimini,44.0678288,12.5695158,Rimini,17.5,333,2,3,770394710-milano-rimini,"[Milano, Rimini]",manual,online
14,https://www.blablacar.it/passaggio-milano-nizza-771769660,2017-03-31,08:00:00,Milano,45.4858877,9.2042827,"Milano Centrale, Milano, MI",Nizza,43.7101728,7.2619532,"Nizza, Francia",19.5,319,3,3,771769660-milano-nizza,"[Milano, Nizza]",manual,online
15,https://www.blablacar.it/passaggio-milano-parigi-769493315,2017-03-31,08:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Parigi,48.842668,2.375576,"Gare de Lyon, 75012 Paris, Francia",61.0,851,1,2,769493315-milano-parigi,"[Roma, Milano, Parigi]",manual,online
16,https://www.blablacar.it/passaggio-milano-chiasso-769866355,2017-03-31,08:10:00,Milano,45.4818609,9.1643593,"Corso Sempione, Milano, Italia",Chiasso,45.8356991,9.0268497,"Corso S. Gottardo, 6830 Chiasso, Svizzera",4.0,50,3,3,769866355-milano-chiasso,"[Milano, Chiasso]",manual,online
17,https://www.blablacar.it/passaggio-milano-forli-770552600,2017-03-31,08:30:00,Milano,45.507356,9.1847626,"Via Ausonio Zubiani, 20161 Milano, Italia",Forlì,44.21779,12.03936,"Via della Rocca, 17, 47121 Forlì FC, Italia",18.5,306,3,3,770552600-milano-forli,"[Milano, Forlì]",auto,online
18,https://www.blablacar.it/passaggio-milano-genova-770670300,2017-03-31,09:00:00,Milano,45.481639862,9.17620945,"Chinatown, 20154 Milano, Italia",Genova,44.4056499,8.946256,"Genova, Italia",12.0,147,3,4,770670300-milano-genova,"[Milano, Genova, Cecina]",manual,online
19,https://www.blablacar.it/passaggio-milano-pisa-771927890,2017-03-31,09:00:00,Milano,45.4842567,9.1665183,"Piazza Gerusalemme, 20154 Milano, Italia",Pisa,43.7179162,10.3978048,"Via l'Arancio, 9, 56126 Pisa PI, Italia",19.5,287,2,3,771927890-milano-pisa,"[Milano, Pisa]",manual,online
20,https://www.blablacar.it/passaggio-milano-montelupo-fiorentino-770398025,2017-03-31,09:00:24,Milano,45.4519646,9.2024902,"Piazzale Medaglie D'Oro, Milano, Italia",Montelupo Fiorentino,43.7331893,11.0206163,"50056 Montelupo Fiorentino FI, Italia",18.5,308,3,3,770398025-milano-montelupo-fiorentino,"[Milano, Montelupo Fiorentino]",manual,online
21,https://www.blablacar.it/passaggio-milano-brescia-770574390,2017-03-31,09:10:00,Milano,45.4654219,9.1859243,Milano,Brescia,45.5415526,10.2118019,"Brescia, BS",7.5,96,2,3,770574390-milano-brescia,"[Novara, Milano, Brescia]",manual,online
22,https://www.blablacar.it/passaggio-milano-tirano-754816075,2017-03-31,09:30:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Tirano,46.216168,10.1696056,"Tirano, SO",9.5,186,3,3,754816075-milano-tirano,"[Milano, Tirano]",auto,online
23,https://www.blablacar.it/passaggio-milan-mulhouse-765941610,2017-03-31,09:30:00,Milano,45.4654219,9.1859243,"Milan, Italie",Mulhouse,47.750839,7.335888,Mulhouse,34.0,377,1,3,765941610-milan-mulhouse,"[Verona, Milano, Mulhouse, Nancy]",auto,online
24,https://www.blablacar.it/passaggio-milano-genova-771330010,2017-03-31,09:40:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Genova,44.4285433,8.7585402,"Genova Voltri, Genova, GE",9.5,140,1,3,771330010-milano-genova,"[Ospitaletto, Milano, Genova, Sanremo]",auto,online
25,https://www.blablacar.it/passaggio-milano-roma-770520735,2017-03-31,09:40:00,Milano,45.465423584,9.18592453,"Milano, Italia",Roma,41.90278244,12.496365547,"Roma, Italia",31.5,574,3,3,770520735-milano-roma,"[Bergamo, Milano, Roma]",auto,online
26,https://www.blablacar.it/passaggio-milano-carrara-769000615,2017-03-31,10:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Carrara,44.0793245,10.097677,"Carrara, MS",14.0,238,1,3,769000615-milano-carrara,"[Milano, Carrara]",manual,online
27,https://www.blablacar.it/passaggio-milano-bologna-769374155,2017-03-31,10:00:00,Milano,45.465488434,9.185879707,"Milano, MI",Bologna,44.494983673,11.34281826,"Bologna, BO",14.0,216,3,3,769374155-milano-bologna,"[Milano, Bologna, Urbino]",manual,online
28,https://www.blablacar.it/passaggio-milano-la-spezia-771997240,2017-03-31,10:00:00,Milano,45.4654219,9.1859243,"Milano, MI",La Spezia,44.1024504,9.8240826,"La Spezia, SP",16.5,225,3,3,771997240-milano-la-spezia,"[Busto Arsizio, Milano, La Spezia]",auto,online
29,https://www.blablacar.it/passaggio-milano-padova-768929900,2017-03-31,10:00:00,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Padova,45.3945541,11.9345494,"Corso Stati Uniti, 5, 35127 Padova PD, Italia",17.5,257,2,3,768929900-milano-padova,"[Milano, Padova]",auto,online
30,https://www.blablacar.it/passaggio-milano-ancona-770448750,2017-03-31,10:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Ancona,43.607319,13.497786,Stazione ferroviaria,19.5,427,1,3,770448750-milano-ancona,"[Milano, Ancona]",manual,online
31,https://www.blablacar.it/passaggio-milano-sanremo-768650065,2017-03-31,10:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Sanremo,43.8159671,7.7760567,"Sanremo, IM",21.5,270,3,3,768650065-milano-sanremo,"[Milano, Sanremo]",manual,online
32,https://www.blablacar.it/passaggio-milano-bevagna-768903680,2017-03-31,10:00:00,Milano,45.4432113,9.1674042,"Milano Romolo, 20143 Milano, Italia",Bevagna,42.938004,12.6216211,"Provincia di Perugia, Italia",34.0,482,1,1,768903680-milano-bevagna,"[Milano, Bevagna]",manual,online
33,https://www.blablacar.it/passaggio-milano-pescara-768611730,2017-03-31,10:10:00,Milano,45.4654219,9.1859243,"Milano, Italia",Pescara,42.4617902,14.2160898,"Pescara PE, Italia",29.5,592,3,4,768611730-milano-pescara,"[Lecco, Milano, Pescara, Scafa]",manual,online
34,https://www.blablacar.it/passaggio-milano-modena-771601015,2017-03-31,10:30:00,Milano,45.4490778,9.1905305,"Via Ferdinando Bocconi, Milano, MI",Modena,44.647128,10.9252269,"Modena, MO",7.5,174,1,2,771601015-milano-modena,"[Milano, Modena]",manual,online
35,https://www.blablacar.it/passaggio-milano-genova-771128200,2017-03-31,10:30:00,Milano,45.4861631,9.2163838,"Piazzale Loreto, Milano, MI",Genova,44.4068,8.94617,"Brignole Fs/, Genova, GE",9.5,148,2,4,771128200-milano-genova,"[Milano, Genova]",auto,online
36,https://www.blablacar.it/passaggio-milano-brescia-771627380,2017-03-31,10:30:43,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,Brescia,7.5,96,2,3,771627380-milano-brescia,"[Milano, Brescia, Vicenza]",auto,online
37,https://www.blablacar.it/passaggio-milano-monaco-ville-770777975,2017-03-31,10:40:00,Milano,45.437728,9.168557,"Famagosta M2, Milano, MI",Monaco-Ville,43.7387495,7.4189942,"Gare de Monaco Monte-Carlo, Monaco-Ville, Monaco",25.0,297,2,3,770777975-milano-monaco-ville,"[Monza, Milano, Monaco-Ville]",manual,online
38,https://www.blablacar.it/passaggio-milano-losanna-760999055,2017-03-31,10:50:34,Milano,45.4654219,9.1859243,"Milano, Italia",Losanna,46.5196535,6.6322734,"Losanna, Svizzera",25.0,328,1,3,760999055-milano-losanna,"[Peschiera Del Garda, Milano, Losanna, Syam]",manual,online
39,https://www.blablacar.it/passaggio-milano-padova-770796330,2017-03-31,11:00:00,Milano,45.4654219,9.1859243,Milano metro rossa capolinea Sesto 1 Maggio,Padova,45.4174057,11.8789507,Padova stazione,17.5,237,3,3,770796330-milano-padova,"[Milano, Padova]",auto,online
40,https://www.blablacar.it/passaggio-milano-san-benedetto-del-tronto-771875865,2017-03-31,11:00:00,Milano,45.4515,9.20312,"Porta Romana, Milano, MI",San Benedetto Del Tronto,42.961,13.8746,"San Benedetto del Tronto, AP",30.5,499,2,2,771875865-milano-san-benedetto-del-tronto,"[Milano, San Benedetto Del Tronto, Teramo]",manual,online
41,https://www.blablacar.it/passaggio-milano-modena-765394570,2017-03-31,11:20:00,Milano,45.4654219,9.1859243,"Milano, Italia",Modena,44.65416,10.930644,"Stazione Ferroviaria, Modena",7.5,180,1,2,765394570-milano-modena,"[Sondrio, Milano, Modena]",manual,online
