,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
0,https://www.blablacar.it/passaggio-milan-turin-768044570,2017-05-01,09:10:00,Milano,45.4654219,9.1859243,"Milan, Italie",Torino,45.070312,7.6868565,"Turin, Italie",6.5,146,3,3,768044570-milan-turin,"[Trezzo sull'Adda, Milano, Torino, Nîmes]",manual,online
1,https://www.blablacar.it/passaggio-mailand-bregenz-748907325,2017-05-01,10:00:00,Milano,45.4654219,9.1859243,"Mailand, Italien",Bregenz,47.50075,9.74231,"Bregenz, Österreich",18.5,309,2,2,748907325-mailand-bregenz,"[Le Cannet-des-Maures, Milano, Bregenz, Augusta]",manual,online
2,https://www.blablacar.it/passaggio-milan-venise-765048550,2017-05-01,11:10:00,Milano,45.4654219,9.1859243,"Milan, Italie",Venezia,45.482711792,12.231216431,"Stazione di Mestre, Venezia",12.0,263,1,1,765048550-milan-venise,"[Bourg-en-Bresse, Milano, Venezia]",auto,online
3,https://www.blablacar.it/passaggio-milan-morieres-les-avignon-706804388,2017-05-01,13:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Morières-Lès-Avignon,43.9448108,4.9011524,"162 Chemin du Canal, 84310 Morières-lès-Avignon, France",41.5,573,2,3,706804388-milan-morieres-les-avignon,"[Milano, Morières-Lès-Avignon]",manual,online
4,https://www.blablacar.it/passaggio-milan-lyon-767532410,2017-05-01,14:00:00,Milano,45.4858877,9.2042827,"Milano Centrale, Milan, Italie",Lione,45.7315386,4.8696165,"Lyon 8, Lyon",30.5,439,3,3,767532410-milan-lyon,"[Milano, Lione]",auto,online
5,https://www.blablacar.it/passaggio-milan-lucerne-740453445,2017-05-01,15:00:00,Milano,45.465423584,9.18592453,"Milan, Italie",Lucerna,47.050167084,8.309307098,"Lucerne, Suisse",17.5,245,2,2,740453445-milan-lucerne,"[Milano, Lucerna, Colmar]",auto,online
6,https://www.blablacar.it/passaggio-milan-lyon-744414060,2017-05-01,16:00:00,Milano,45.453296661,9.169592857,"Milano Porta Genova, Piazzale Stazione Genova, 4, 20144 Milano, ",Lione,45.760574341,4.85730505,"La Part-Dieu, 69003 Lyon, France",32.5,449,1,2,744414060-milan-lyon,"[Milano, Lione]",manual,online
7,https://www.blablacar.it/passaggio-milan-marseille-756653650,2017-05-01,16:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Marsiglia,43.296482,5.36978,"Marseille, France",38.0,525,1,3,756653650-milan-marseille,"[Milano, Marsiglia]",auto,online
8,https://www.blablacar.it/passaggio-milano-verona-725462964,2017-05-01,17:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Verona,45.43838501,10.991621971,Verona,12.0,168,3,3,725462964-milano-verona,"[Milano, Verona, Treviso]",auto,online
9,https://www.blablacar.it/passaggio-milan-chamonix-mont-blanc-746445685,2017-05-01,17:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Chamonix-Mont-Blanc,45.923753,6.8695486,chamonix,17.5,242,3,3,746445685-milan-chamonix-mont-blanc,"[Milano, Chamonix-Mont-Blanc, Annecy]",auto,online
10,https://www.blablacar.it/passaggio-milan-imperia-italie-769870590,2017-05-01,17:40:00,Milano,45.4434547,9.1676739,"Romolo, 20143 Milano, Italie","Imperia, Italie",43.9410831,7.8354954,"Imperia, Italie",24.0,270,2,2,769870590-milan-imperia-italie,"[Milano, La Londe-Les-Maures]",manual,online
11,https://www.blablacar.it/passaggio-milan-villeurbanne-771910825,2017-05-01,18:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Villeurbanne,45.7671752,4.8830793,"Gratte Ciel, Villeurbanne",34.0,441,2,2,771910825-milan-villeurbanne,"[Milano, Villeurbanne]",manual,online
12,https://www.blablacar.it/passaggio-milan-bonneville-763909780,2017-05-01,20:10:00,Milano,45.458626,9.181873,"Milan, Italie",Bonneville,46.0780249,6.409053,Bonneville,17.5,290,3,3,763909780-milan-bonneville,"[Venezia, Milano, Bonneville]",auto,online
13,https://www.blablacar.it/passaggio-milano-aeroporto-brindisi-730476110,2017-05-02,07:00:12,Milano,45.4654219,9.1859243,"Milano, Italia","Aeroporto, Brindisi",40.656967163,17.938613892,"Aeroporto, Brindisi",61.0,993,2,2,730476110-milano-aeroporto-brindisi,[Milano],manual,online
14,https://www.blablacar.it/passaggio-milano-torino-771787195,2017-05-02,07:40:00,Milano,45.4845796,9.2359072,"Stazione Lambrate m2, 20133 Milano, Italia",Torino,45.0314278,7.6517438,"Lingotto, Torino, Italia",9.5,187,3,3,771787195-milano-torino,"[Milano, Torino]",manual,online
15,https://www.blablacar.it/passaggio-milano-lugano-766343595,2017-05-02,10:40:41,Milano,45.4654219,9.1859243,"Milano, Italia",Lugano,46.0036778,8.951052,"Lugano, Svizzera",5.5,80,4,4,766343595-milano-lugano,"[Belluno, Milano, Lugano, Zurigo]",manual,online
16,https://www.blablacar.it/passaggio-milano-bassano-del-grappa-750048685,2017-05-03,23:50:00,Milano,45.4931647,9.1823676,"Via Valtellina, Milano, MI",Bassano Del Grappa,45.7657286,11.7272747,"Bassano del Grappa, VI",12.0,247,3,3,750048685-milano-bassano-del-grappa,"[Milano, Bassano Del Grappa]",manual,online
17,https://www.blablacar.it/passaggio-milano-bologna-763969250,2017-05-04,12:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Bologna,44.494887,11.3426163,"Bologna, BO",9.5,216,3,3,763969250-milano-bologna,"[Zurigo, Milano, Bologna, Roma]",manual,online
18,https://www.blablacar.it/passaggio-milano-aosta-766797865,2017-05-05,09:00:00,Milano,45.4796037,9.1414533,"Lotto (Fieramilanocity) M1 M5, 20148 Milano, Italia",Aosta,45.7343526,7.3223231,"Stazione di Aosta, Aosta",12.0,179,2,2,766797865-milano-aosta,"[Milano, Aosta]",auto,online
19,https://www.blablacar.it/passaggio-milano-lugano-754137105,2017-05-05,10:00:00,Milano,45.46549,9.18588,"Milano, MI",Lugano,46.0036778,8.951052,"Lugano, Svizzera",7.5,80,1,1,754137105-milano-lugano,"[Montagnana, Milano, Lugano, Ribeauvillé]",manual,online
20,https://www.blablacar.it/passaggio-milano-parma-763000280,2017-05-05,15:00:00,Milano,45.4374087,9.1689964,"Famagosta, 20142 Milano, Italia",Parma,44.8015,10.32751,Parma,5.5,128,3,3,763000280-milano-parma,"[Milano, Parma, Roma]",manual,online
21,https://www.blablacar.it/passaggio-milano-tortona-766531425,2017-05-06,04:00:00,Milano,45.437393188,9.168777466,Famagosta M2,Tortona,44.8952122,8.8633326,"Tortona, AL",6.5,71,4,4,766531425-milano-tortona,"[Milano, Tortona, Chiavari]",manual,online
22,https://www.blablacar.it/passaggio-mailand-stuttgart-745276360,2017-05-06,08:50:00,Milano,45.4654219,9.1859243,"Milano, MI",Stoccarda,48.7758459,9.1829321,"Stoccarda, Germania",42.5,442,2,2,745276360-mailand-stuttgart,"[Salerno, Milano, Stoccarda]",manual,online
23,https://www.blablacar.it/passaggio-milano-padova-761252770,2017-05-06,15:00:59,Milano,45.485668,9.2097314,"Piazza Caiazzo, 20124 Milano, Italia",Padova,45.4168569,11.8797719,"Piazzale Stazione, 35131 Padova PD, Italia",17.5,236,3,3,761252770-milano-padova,"[Milano, Padova]",auto,online
