,duration,recommended_price,country_code
Aarau,14400,16,CH
Acquaviva delle fonti,34200,49,IT
Affi,7200,8,IT
Aix-En-Provence,21600,27,FR
Alba,8400,8,IT
Alba Adriatica,21000,28,IT
Albenga,10800,11,IT
Alessandria,5400,5,IT
Alicante,59400,83,ES
Altamura,35400,48,BOH
Ancona,18000,24,IT
Andria,33000,45,BOH
Angera,4800,4,IT
Angers,41400,55,FR
Annecy,15600,18,FR
Annemasse,14400,17,FR
Aosta,9000,10,BOH
Aprica,10800,9,IT
Arenzano,7200,8,IT
Arezzo,15600,20,IT
Arma Di Taggia,12600,14,BOH
Ascoli Piceno,21600,29,IT
Asiago,13200,15,IT
Asnières-Sur-Seine,35400,47,FR
Aspio Terme,17400,23,IT
Asti,6600,6,IT
Aubagne,21600,27,FR
Avellino,31200,43,BOH
Baar,12600,14,CH
Barcellona,39600,54,ES
Bari,34200,48,BOH
Barletta,31800,45,BOH
Basilea,16800,18,CH
Bassano Del Grappa,12000,13,IT
Baveno,6000,6,IT
Bellinzona,6000,5,CH
Belluno,15000,19,IT
Benevento,31200,42,IT
Bergamo,4200,2,IT
Berlino,42600,57,DE
Biella,6000,5,IT
Bisceglie,33600,46,IT
Bolesławiec,42600,58,PL
Bologna,10200,11,IT
Bolzano,12600,15,IT
Bordighera,13200,15,IT
Borghetto Santo Spirito,10200,11,IT
Borgomanero,4800,4,IT
Bra,9000,9,IT
Bregenz,15000,16,AT
Breno,8400,6,IT
Brescia,5400,5,IT
Brindisi,37800,54,IT
Bruxelles,37800,50,BE
Caerano Di San Marco,12600,14,IT
Calcinelli,15000,21,IT
Capua,28800,40,IT
Carouge,15000,17,BOH
Carrara,11400,13,BOH
Casalecchio Di Reno,9600,11,IT
Cascina,13200,16,BOH
Caserta,29400,41,IT
Cassino,27000,37,IT
Castelfranco Veneto,12000,13,BOH
Castelnuovo Scrivia,4200,3,IT
Castrovillari,39600,55,IT
Catania,55800,73,IT
Cattolica,13800,19,IT
Cesena,12600,16,IT
Chambéry,15000,18,FR
Chamonix-Mont-Blanc,12000,13,FR
Chiasso,4200,3,CH
Chiavari,10200,9,IT
Ciampino,23400,32,IT
Città Sant'angelo,22800,31,BOH
Civitanova Marche,18600,25,IT
Codroipo,15000,19,IT
Coira,12000,12,CH
Collegno,7200,8,IT
Colmar,19200,22,BOH
Como,4200,2,IT
Copertino,39600,57,IT
Corato,33000,46,IT
Cosenza,42600,58,IT
Cossato,5400,5,IT
Crans-Montana,14400,13,CH
Cremona,5400,5,IT
Crotone,48000,64,IT
Cugnasco-Gerra,6600,6,BOH
