,duration,recommended_price,country_code
Aosta,9000,10,IT
Asti,6600,6,IT
Barletta,31800,45,IT
Basilea,16800,18,CH
Bologna,10200,11,IT
Botricello,47400,65,IT
Briançon,12600,13,FR
Castione,9000,7,IT
Cattolica,13800,19,IT
Chamonix-Mont-Blanc,12000,13,FR
Ferno,3600,2,IT
Ferrara,11400,14,IT
Firenze,13800,17,IT
Francoforte,28800,36,DE
Genova,9000,8,IT
Getaria,48000,68,ES
Iași,84000,98,RO
Kassel,34200,44,DE
Lipsia,36000,48,DE
Lucca,12600,15,IT
Menaggio,6000,4,IT
Modena,9000,9,IT
Montecreto,13200,13,IT
Novara,4200,3,IT
Ospitaletto,4800,4,IT
Parma,6600,7,IT
Perugia,19200,24,IT
Pesaro,15000,20,BOH
Piacenza,4800,3,IT
Pisa,12600,15,IT
Scarperia,13200,15,BOH
Torino,7200,8,IT
Trento,10800,12,IT
Trieste,18000,22,IT
Venezia,12000,14,BOH
Vichy,27000,33,FR
Zurigo,13800,15,CH
Ćikovići,21600,26,HR
