,duration,recommended_price,country_code
Acqui Terme,7200,7,IT
Affi,7200,8,BOH
Alba,8400,8,IT
Alessandria,5400,5,IT
Ancona,18000,24,IT
Antibes,16800,19,FR
Aosta,9000,10,IT
Arco,10800,11,IT
Arma Di Taggia,12600,14,BOH
Ascoli Piceno,21600,29,IT
Aspio Terme,17400,23,IT
Asti,6600,6,IT
Basilea,16800,18,CH
Bassano Del Grappa,12000,13,BOH
Bellinzona,6000,5,CH
Bergamo,4200,2,IT
Bevagna,20400,26,IT
Bologna,10200,11,IT
Bolzano,12600,15,IT
Borgomanero,4800,4,IT
Borno,327600,331,BOH
Brescia,5400,5,IT
Calenzano,12600,15,IT
Carrara,11400,13,IT
Casalecchio Di Reno,9600,11,IT
Castelfranco Veneto,12000,13,IT
Cattolica,13800,19,IT
Ceparana,10800,11,IT
Ceriale,10200,11,BOH
Cesena,12600,16,IT
Cesuna,12000,14,IT
Chambéry,15000,18,FR
Chamonix-Mont-Blanc,12000,13,FR
Chiasso,4200,3,CH
Chiavari,10200,9,IT
Civitanova Marche,18600,25,IT
Concesio,5400,5,IT
Courmayeur,10200,12,IT
Cuneo,11400,13,BOH
Darfo,7200,5,IT
Desenzano del Garda,6000,6,IT
Domodossola,6600,7,IT
Faenza,12000,14,IT
Fano,15000,20,BOH
Ferrara,11400,14,IT
Finale Ligure,10200,10,IT
Firenze,13800,17,IT
Foligno,20400,26,IT
Forlì,12600,15,IT
Formia,28800,39,IT
Fornacette,13200,16,IT
Genova,9000,8,IT
Grottammare,19800,27,IT
Imperia,11400,13,BOH
La Spezia,10800,12,IT
Lavagna,10200,10,IT
Le Grand-Saconnex,15600,18,CH
Lecco,4200,3,IT
Lido Di Camaiore,12000,14,IT
Loano,10200,11,IT
Losanna,16800,18,CH
Lucca,12600,15,BOH
Lucerna,12000,13,BOH
Lugano,5400,4,CH
Lumarzo,10200,8,BOH
Mannheim,26400,32,DE
Mantova,9600,10,IT
Marina Di Carrara,10800,12,IT
Massarosa,12000,14,IT
Modena,9000,9,IT
Molfetta,33600,47,BOH
Monaco-Ville,14400,16,MC
Moneglia,10800,10,IT
Montelupo Fiorentino,13200,17,IT
Morbegno,6600,5,BOH
Mulhouse,18000,20,FR
Napoli,30000,42,IT
Nizza,15000,17,FR
Novafeltria,15000,18,IT
Orio al Serio,3600,2,IT
Ornavasso,5400,5,IT
Padova,11400,13,IT
Parigi,34800,46,BOH
Parma,6600,7,IT
Pavia,4200,2,IT
Perugia,19200,24,IT
Pesaro,15000,20,IT
Pescara,22800,32,IT
Piacenza,4800,3,IT
Pinzolo,12600,11,BOH
Piombino,16800,21,IT
Pisa,12600,15,IT
Pistoia,13200,17,IT
Ponte San Giovanni,19200,24,IT
Portoferraio,22200,23,IT
Portogruaro,13800,17,IT
Prato,12600,16,IT
Preganziol,12000,15,BOH
Quarona,6000,5,IT
Quarto D'altino,12000,15,BOH
Rapallo,9600,9,IT
Ravenna,12600,16,IT
Recanati,18600,25,IT
Recco,9600,9,IT
Reggio Emilia,7200,8,IT
Riccione,13800,18,IT
Rimini,13800,18,IT
Riva Del Garda,10200,9,IT
Roma,23400,31,IT
Ronco Scrivia,6000,6,BOH
Rondissone,6000,7,BOH
Rovereto,10200,10,IT
Salvano,19200,26,BOH
Salò,6600,7,BOH
San Benedetto Del Tronto,19800,27,IT
San Vincenzo,15000,19,IT
Sanremo,13200,14,IT
Santena,7200,9,IT
Santo Stefano Di Magra,10200,11,IT
Santuario,10200,10,BOH
Sarzana,10800,12,IT
Sassuolo,9000,10,IT
Savona,9000,9,IT
Senigallia,16800,21,IT
Sestri Levante,10200,10,IT
Siena,16800,20,IT
Silea,12000,15,IT
Sirmione,7200,7,BOH
Sondrio,9000,7,IT
Suvereto,16800,20,IT
Tirano,10800,8,IT
Torino,7200,8,IT
Trarego Viggiona,8400,6,IT
Trento,10800,12,IT
Treviso,12600,15,IT
Trieste,18000,22,IT
Udine,15600,20,IT
Varese,4200,3,IT
Vasto,26400,35,BOH
Venezia,12000,14,IT
Verbania,6000,5,IT
Verona,8400,8,IT
Viareggio,12000,14,IT
Vicenza,9600,11,IT
Vinovo,9000,9,IT
