,duration,recommended_price,country_code
Annecy,15600,18,FR
Anversa,39000,52,BE
Aosta,9000,10,BOH
Barcellona,39600,54,ES
Bari,34200,48,IT
Bassano Del Grappa,12000,13,IT
Baveno,6000,6,IT
Bergamo,4200,2,IT
Bibione,15000,19,IT
Bologna,10200,11,IT
Bonneville,13800,16,FR
Bregenz,15000,16,AT
Brescia,5400,5,IT
Brindisi,37800,54,IT
Budapest,37200,52,HU
Caserta,29400,41,IT
Chamonix-Mont-Blanc,12000,13,FR
Digione,25200,31,FR
Firenze,13800,17,BOH
Francoforte,28800,36,DE
Genova,9000,8,IT
Ivrea,6000,6,IT
Lago de como,7200,4,BOH
Latisana,14400,18,IT
Le Grand-Saconnex,15600,18,CH
Lione,19800,24,FR
Londra,53400,69,GB
Lucerna,12000,13,CH
Lugano,5400,4,CH
Lussemburgo,30600,40,BOH
Marsiglia,22800,28,FR
Molini di Triora,14400,15,BOH
Monaco Di Baviera,22800,27,DE
Monaco-Ville,14400,16,MC
Montagnana,10200,11,IT
Montbéliard,19800,23,FR
Morières-Lès-Avignon,23400,31,FR
Nimega,39000,52,NL
Orio al Serio,3600,2,IT
Padova,11400,13,IT
Pago,23400,30,BOH
Parma,6600,7,IT
Perugia,19200,24,IT
Piacenza,4800,3,IT
Roma,23400,31,IT
Salerno,31200,44,IT
Seregno,3000,1,IT
Stoccarda,22800,27,DE
Strasburgo,21000,26,FR
Torino,7200,8,IT
Tortona,4800,4,IT
Venezia,12000,14,BOH
Verona,8400,8,IT
Villeurbanne,19200,24,FR
Yverdon-Les-Bains,18000,19,CH
Zurigo,13800,15,CH
