,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2017-07-01,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-14,2017-07-17,2017-07-19,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-27,2017-07-28,2017-07-30,2017-07-31
Belfort,,,,,,,,,,,,,,,,,0.0,,,
Bianco,,,,,,0.0,,,,,,,,,,,,,,
Bologna,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,
Castione,,0.0,,,,,,,,,,,,,,,,,,
Catanzaro,0.0,,,,,,,,,,,,,,,,,,,
Civitavecchia,,,,,,,,,,,,,,,,,,0.0,,
Ferno,,,,,,,,0.0,,,,,,,,,,,,
Firenze,,,,,,,,,,,,,,,,,0.0,,,
Genova,,,,,0.0,,,,,,,,,,,,,,,
Levanto,,,,,,,0.0,,,0.0,,,0.0,,,,,,,
Livorno,,,,,,,,,,,,,,,,,,0.0,,0.0
Menaggio,,,,,,,,,,,,,,,,,,,,0.0
Mulhouse,,,,,,,,0.0,,,,,,,,,,,,
Nizza,,,,,,,,,,,,,,0.0,,,,,,
Piacenza,,,,,,,,,,,,,,,0.0,,,,,
Rimini,,,,,,,,,0.0,,,,,,,,,,,
Roma,,,0.0,,0.0,,,,,,,,0.0,,,,,,,
Siena,,,,0.0,,,,,,,,,,,,,,,,
Spotorno,,,,,,,,,,,,,,,,,,0.0,,
Torino,,,,,0.0,,,,,,,,,,,,,,,
Varese,,,,,,,,,,,,,,,,0.0,,,,
Venezia,,,,,,,,,,,,0.0,,,0.0,,,,,
Verona,,0.0,,,,,,,,,0.0,,,,,,,,,
