,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2017-06-01,2017-06-02,2017-06-03,2017-06-05,2017-06-07,2017-06-08,2017-06-09,2017-06-10,2017-06-12,2017-06-15,2017-06-16,2017-06-18,2017-06-19,2017-06-20,2017-06-22,2017-06-23,2017-06-24,2017-06-25,2017-06-26,2017-06-27,2017-06-30
Aosta,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,
Asti,,,,,,,,,,,,,,,,,,,,0.0,
Barletta,,,,,,,0.0,,,,,,,,,,,,,,
Basilea,,,,,,,,,,,,,,,,,0.0,,,,
Bologna,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,
Botricello,0.0,,,,,,,,,,,,,,,,,,,,
Briançon,,,,,,,,,,,,,,,0.0,,,,,,
Castione,,,,,,,0.0,,,,,,,,,0.0,,,,,
Cattolica,,,,0.0,,,,,,,,,,,,,,,,,
Chamonix-Mont-Blanc,,,,,,,,,,,,,,,,0.0,,,,,
Ferno,,,,,,,,,,,,,,0.0,,,,,,,
Ferrara,,,,,,,,,,,,0.0,,,,,,,,,
Firenze,,0.0,,,,,0.0,,,,,,,,,,,,,,
Francoforte,,,,,,,,,,,,,,,,,,,,,0.0
Genova,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,
Getaria,,0.0,,,,,,,,,,,,,,,,,,,
Iași,,,,,,,,,,,,,,,,,,,0.0,,
Kassel,,,,,,,,,,,,,0.0,,,,,,,,
Lipsia,0.0,,,,,,,,,,,,,,,,,,,,
Lucca,,,,,,,,,,,,0.0,,,,,,,,,
Menaggio,,,,0.0,,,,,,,,,,,,,,,,,
Modena,,,,,,,,,,,,,0.0,,,,,,,,
Montecreto,0.0,,,,,,,,,,,,,,,,,,,,
Novara,0.0,,,,,,,,,,,,,,,,,,,,
Ospitaletto,,,,,,,,,,,,0.0,,,,,,,,,
Parma,,,,,,,,,,,,,,,,,0.0,,,,
Perugia,,,,,,,,,,0.0,,,,,,,,,,,
Pesaro,,,,,,,,,,,,,,,,0.0,,,,,
Piacenza,,,,,,,,0.0,,,,,,,,0.0,,,,,
Pisa,,,,,,,,,,0.0,,,,,,,,,,,
Scarperia,,,0.0,,,,,,,,,,,,,,,,,,
Torino,,,,,0.0,,,,,,,,,,,,,,,,0.0
Trento,,,,,,,,,,,,,,,0.0,,,,,,
Trieste,0.0,,,,,,,,,,,,0.0,,,,,,,,
Venezia,,,,,,,,,,,,,0.0,,,,,,,,
Vichy,,,,0.0,,,,,,,,,,,,,,,,,
Zurigo,,,0.0,,,,,,,,,,,,,,,,,,
Ćikovići,,,,,,,,,,,,,0.0,,,,,,,,
