,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
Annecy,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
Anversa,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Aosta,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Barcellona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Bari,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
Bassano Del Grappa,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baveno,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Bergamo,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,
Bibione,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Bologna,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,
Bonneville,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bregenz,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brescia,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,,,,
Brindisi,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budapest,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Caserta,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
Chamonix-Mont-Blanc,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
Firenze,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
Francoforte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Genova,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,
Ivrea,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Lago de como,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
Latisana,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Le Grand-Saconnex,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
Lione,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Londra,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Lucerna,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lugano,,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,
Lussemburgo,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Marsiglia,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
Molini di Triora,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco Di Baviera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Monaco-Ville,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Montagnana,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Montbéliard,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Morières-Lès-Avignon,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nimega,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
Orio al Serio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Padova,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,
Pago,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Parma,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,
Perugia,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Piacenza,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
Roma,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Salerno,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
Seregno,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
Stoccarda,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Strasburgo,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,
Torino,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,
Tortona,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Venezia,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Verona,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villeurbanne,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yverdon-Les-Bains,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
Zurigo,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,
