,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype
0,0,https://www.blablacar.it/passaggio-milan-rovigo-italie-710370369,2017-01-01,00:30:00,Milano,45.4654219,9.1859243,"Milan, Italie","Rovigo, Italie",45.0241818,11.8238162,"Rovigo, Italie",17.5,244,3,3,710370369-milan-rovigo-italie,"[Nizza, Milano]",manual,online
1,1,https://www.blablacar.it/passaggio-milano-rovigo-709379309,2017-01-01,01:30:43,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Rovigo,45.0698118,11.7902158,"45100 Rovigo RO, Italia",15.0,242,3,3,709379309-milano-rovigo,"[Milano, Rovigo]",auto,online
2,2,https://www.blablacar.it/passaggio-milano-parma-710678249,2017-01-01,02:10:59,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Parma,44.801485,10.3279036,Parma,5.5,128,3,3,710678249-milano-parma,"[Milano, Parma, Modena]",auto,online
3,3,https://www.blablacar.it/passaggio-milaan-brussel-710263499,2017-01-01,03:00:00,Milano,45.4654219,9.1859243,"Milaan, Italië",Bruxelles,50.8503396,4.3517103,"Brussel, België",55.5,912,3,3,710263499-milaan-brussel,"[Milano, Bruxelles]",auto,online
4,4,https://www.blablacar.it/passaggio-milano-roma-704780923,2017-01-01,04:00:00,Milano,45.46549,9.18588,"Milano, MI",Roma,41.9027835,12.4963655,"Roma, RM",35.0,572,3,3,704780923-milano-roma,"[Milano, Roma]",manual,online
5,5,https://www.blablacar.it/passaggio-milano-bologna-705177658,2017-01-01,06:00:00,Milano,45.4842385,9.2157572,"Loreto M1 m2, Milano, MI",Bologna,44.5058803,11.3433706,"Bologna Centrale, Piazza delle Medaglie d'Oro, Bologna, BO",13.0,215,1,4,705177658-milano-bologna,"[Monza, Milano, Bologna, Ferrara]",auto,online
6,6,https://www.blablacar.it/passaggio-milano-torino-709753849,2017-01-01,07:00:00,Milano,45.46549,9.18588,"Milano, MI",Torino,45.070312,7.6868565,"Torino, TO",13.0,146,3,3,709753849-milano-torino,"[Milano, Torino, Grenoble]",manual,online
7,7,https://www.blablacar.it/passaggio-milano-torino-708185771,2017-01-01,07:00:37,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",7.5,152,1,4,708185771-milano-torino,"[Milano, Torino]",auto,online
8,8,https://www.blablacar.it/passaggio-milano-siracusa-678514582,2017-01-01,07:40:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Siracusa,37.0754739,15.2865861,"Siracusa, SR, Italia",88.5,1408,4,4,678514582-milano-siracusa,"[Milano, Siracusa]",manual,online
9,9,https://www.blablacar.it/passaggio-milano-aosta-708435841,2017-01-01,08:00:00,Milano,45.479151,9.142534,"Lotto (Fieramilanocity) M1 M5, Milano, MI",Aosta,45.73512,7.32402,"Aosta autostazione, Aosta, AO",10.5,179,2,3,708435841-milano-aosta,"[Milano, Aosta]",auto,online
10,10,https://www.blablacar.it/passaggio-milano-ronchi-710685984,2017-01-01,08:00:00,Milano,45.46549,9.18588,"Milano, MI",Ronchi,45.4530036,10.7145959,"Gardaland, Ronchi, VR",12.0,137,3,3,710685984-milano-ronchi,"[Milano, Ronchi]",manual,online
11,11,https://www.blablacar.it/passaggio-milano-rimini-709476249,2017-01-01,08:00:00,Milano,45.437728,9.168557,"Famagosta m2, Milano, MI, Italia",Rimini,44.0678288,12.5695158,"Rimini, RN, Italia",19.5,333,2,4,709476249-milano-rimini,"[Milano, Rimini]",manual,online
