,duration,recommended_price,country_code
Abano Terme,10800,13,IT
Abbiategrasso,3600,2,IT
Acqui Terme,7200,7,IT
Adria,12600,14,IT
"Aereoporto ""v.catullo""",7200,8,IT
Affi,7200,8,IT
Agordo,17400,21,IT
Aix-En-Provence,21600,27,FR
Alassio,10800,12,IT
Alba,8400,8,IT
Alba Adriatica,21000,28,IT
Albavilla,4200,2,IT
Albenga,10800,11,IT
Albiano D'ivrea,5400,6,IT
Albisola Superiore,8400,9,IT
Albissola Marina,9000,9,IT
Alessandria,5400,5,IT
Altavilla Vicentina,9600,10,IT
Ancona,18000,24,IT
Annemasse,14400,17,FR
Antey-Saint-André,9000,9,IT
Antibes,16800,19,FR
Aosta,9000,10,IT
Aprica,10800,9,IT
Arco,10800,11,IT
Arcore,3000,1,IT
Area Produttiva Mosciano,21000,29,IT
Arenzano,7200,8,IT
Arese,3000,1,IT
Arezzo,15600,20,IT
Arma Di Taggia,12600,14,IT
Arona,4200,3,IT
Arzignano,9600,10,IT
Ascoli Piceno,21600,29,BOH
Asolo,12600,14,IT
Assago,2400,1,IT
Asti,6600,6,IT
Aubervilliers,34800,47,FR
Augusta,-1,-1,BOH
Aulla,9600,11,IT
Auxerre,28200,37,FR
Avio,9000,10,IT
Azzano San Paolo,3600,2,IT
Baar,12600,14,CH
Bad Ragaz,12600,13,CH
Baden,14400,16,CH
Bagolino,10200,9,IT
Banchette,6000,6,IT
Barasso,4800,3,IT
Barbellotta,5400,5,IT
Barberino Di Mugello,12000,15,IT
Barcellona,39600,54,ES
Bardonecchia,10800,12,IT
Bareggio,3000,1,IT
Bari,34200,48,IT
Barletta,31800,45,IT
Barzio,5400,3,IT
Basaluzzo,5400,5,IT
Basilea,16800,18,CH
Bassano Del Grappa,12000,13,IT
Battipaglia,33000,45,IT
Baveno,6000,6,IT
Belfort,19200,22,FR
Bellagio,5400,3,IT
Bellaria,13800,17,IT
Bellinzago Novarese,4200,3,IT
Bellinzona,6000,5,CH
Belluno,15000,19,IT
Belvedere,11400,13,IT
Benevento,31200,42,IT
Benken,13800,15,CH
Berbenno Di Valtellina,8400,6,IT
Beregazzo,3600,2,IT
Bergamo,4200,2,IT
Bergeggi,9600,10,IT
Berlino,42600,57,DE
Berna,17400,19,CH
Bettola-Zeloforamagno,2400,1,IT
Biella,6000,5,IT
Bienna,16800,19,CH
Binasco,3000,1,IT
Bludenz,15000,16,AT
Boario Terme,7200,5,IT
Bologna,10200,11,IT
Bolzano,12600,15,IT
Bomporto,9600,10,IT
Bordeaux,39600,54,FR
Bordighera,13200,15,IT
Borgio,10200,11,IT
Borgo San Dalmazzo,12000,14,IT
Borgo San Lorenzo,12600,15,IT
Borgomanero,4800,4,IT
Borgosesia,6000,5,IT
Bormio,12600,10,IT
Borso Del Grappa,12600,14,IT
Bosco Marengo,5400,5,IT
Bra,9000,9,IT
Brașov,66600,90,RO
Bre,10800,10,IT
Brema,43800,59,DE
Breno,8400,6,IT
Brescia,5400,5,IT
Bresso,2400,1,IT
Breuil-Cervinia,10200,10,IT
Briançon,12600,13,FR
Brignole,19800,24,BOH
Brindisi,37800,54,IT
Brivio,4200,2,IT
Bruxelles,37800,50,BOH
Bucine,15000,19,IT
Budrio,10800,13,IT
