,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name,duration,recommended_price,country_code
0,2017-01-01,00:30:00,Milano,45.4654219,9.1859243,"Milan, Italie","Rovigo, Italie",45.0241818,11.8238162,"Rovigo, Italie",17.5,244,3,3,710370369-milan-rovigo-italie,"[Nizza, Milano]",manual,online,rovigo,12000,13,IT
1,2017-01-01,01:30:43,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Rovigo,45.0698118,11.7902158,"45100 Rovigo RO, Italia",15.0,242,3,3,709379309-milano-rovigo,"[Milano, Rovigo]",auto,online,rovigo,12000,13,IT
2,2017-01-01,02:10:59,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Parma,44.801485,10.3279036,Parma,5.5,128,3,3,710678249-milano-parma,"[Milano, Parma, Modena]",auto,online,parma,6600,7,IT
3,2017-01-01,03:00:00,Milano,45.4654219,9.1859243,"Milaan, Italië",Bruxelles,50.8503396,4.3517103,"Brussel, België",55.5,912,3,3,710263499-milaan-brussel,"[Milano, Bruxelles]",auto,online,bruxelles,37800,50,BE
4,2017-01-01,04:00:00,Milano,45.46549,9.18588,"Milano, MI",Roma,41.9027835,12.4963655,"Roma, RM",35.0,572,3,3,704780923-milano-roma,"[Milano, Roma]",manual,online,roma,23400,31,IT
5,2017-01-01,06:00:00,Milano,45.4842385,9.2157572,"Loreto M1 m2, Milano, MI",Bologna,44.5058803,11.3433706,"Bologna Centrale, Piazza delle Medaglie d'Oro, Bologna, BO",13.0,215,1,4,705177658-milano-bologna,"[Monza, Milano, Bologna, Ferrara]",auto,online,bologna,10200,11,IT
6,2017-01-01,07:00:00,Milano,45.46549,9.18588,"Milano, MI",Torino,45.070312,7.6868565,"Torino, TO",13.0,146,3,3,709753849-milano-torino,"[Milano, Torino, Grenoble]",manual,online,torino,7200,8,IT
7,2017-01-01,07:00:37,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",7.5,152,1,4,708185771-milano-torino,"[Milano, Torino]",auto,online,torino,7200,8,IT
8,2017-01-01,07:40:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Siracusa,37.0754739,15.2865861,"Siracusa, SR, Italia",88.5,1408,4,4,678514582-milano-siracusa,"[Milano, Siracusa]",manual,online,siracusa,59400,77,IT
9,2017-01-01,08:00:00,Milano,45.479151,9.142534,"Lotto (Fieramilanocity) M1 M5, Milano, MI",Aosta,45.73512,7.32402,"Aosta autostazione, Aosta, AO",10.5,179,2,3,708435841-milano-aosta,"[Milano, Aosta]",auto,online,aosta,9000,10,IT
10,2017-01-01,08:00:00,Milano,45.46549,9.18588,"Milano, MI",Ronchi,45.4530036,10.7145959,"Gardaland, Ronchi, VR",12.0,137,3,3,710685984-milano-ronchi,"[Milano, Ronchi]",manual,online,ronchi,6600,7,IT
11,2017-01-01,08:00:00,Milano,45.437728,9.168557,"Famagosta m2, Milano, MI, Italia",Rimini,44.0678288,12.5695158,"Rimini, RN, Italia",19.5,333,2,4,709476249-milano-rimini,"[Milano, Rimini]",manual,online,rimini,13800,18,IT
12,2017-01-01,08:10:00,Milano,45.4654219,9.1859243,"Milano, Italia",Brescia,45.5415526,10.2118019,Brescia,6.5,104,3,3,710604414-milano-brescia,"[Milano, Brescia, Padova]",auto,online,brescia,5400,5,IT
13,2017-01-01,08:30:00,Milano,45.47903,9.1443735,"Lotto M1-M5, Milan",Verona,45.4383842,10.9916215,"Verona, VR",8.5,165,4,4,709970119-milano-verona,"[Milano, Verona, Pieve Di Cadore]",manual,online,verona,8400,8,IT
14,2017-01-01,08:30:00,Milano,45.4843425,9.2347009,"Lambrate Fs, Milano, MI",Champoluc,45.8322272,7.7255284,"Champoluc, AO",17.5,189,2,2,710500769-milano-champoluc,"[Milano, Champoluc]",auto,online,champoluc,9600,9,IT
15,2017-01-01,09:00:00,Milano,45.46549,9.18588,"Milano, MI",Ponte Di Legno,46.2602731,10.5090969,"Ponte di Legno, BS",14.0,166,3,3,710601339-milano-ponte-di-legno,"[Milano, Ponte Di Legno]",manual,online,ponte di legno,11400,9,IT
16,2017-01-01,09:00:00,Milano,45.46549,9.18588,"Milano, MI",Senigallia,43.7197926,13.2152224,"Senigallia, AN",19.5,398,2,2,710408919-milano-senigallia,"[Milano, Senigallia]",auto,online,senigallia,16800,21,IT
17,2017-01-01,10:00:00,Milano,45.4461442,9.192894,"Viale Toscana, Milano, MI",Gussago,45.5876305,10.1533423,"Gussago, BS",5.5,102,3,3,709674619-milano-gussago,"[Milano, Gussago]",auto,online,gussago,5400,4,IT
18,2017-01-01,10:00:00,Milano,45.4842475,9.2348298,"Lambrate Fs, Milano, MI, Italia",Bologna,44.5058803,11.3433706,"Bologna Stazione Centrale, Bologna, BO, Italia",13.0,213,3,3,709316534-milano-bologna,"[Milano, Bologna]",manual,online,bologna,10200,11,IT
19,2017-01-01,10:00:00,Milano,45.45158,9.20318,"Porta Romana, 20135 Milano, Italia",Ancona,43.6158299,13.518915,"Ancona, AN",26.5,425,1,1,703363978-milano-ancona,"[Milano, Ancona, Matera]",manual,online,ancona,18000,24,IT
20,2017-01-01,10:00:00,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Würzburg,49.8015978,9.9357507,"Würzburg Hbf, Würzburg",39.5,612,2,2,693696028-mailand-wuerzburg,"[Milano, Würzburg]",manual,online,würzburg,26400,33,DE
21,2017-01-01,10:00:31,Milano,45.4654219,9.1859243,"Milano, Italia",Cesena,44.1396438,12.2464292,"Cesena FC, Italia",17.5,305,3,3,710050369-milano-cesena,"[Milano, Cesena]",auto,online,cesena,12600,16,IT
22,2017-01-01,10:00:55,Milano,45.4654219,9.1859243,"Milano, Italia",Torino,45.070312,7.6868565,"Torino, Italia",7.5,146,1,4,699655435-milano-torino,"[Milano, Torino, Parigi]",manual,online,torino,7200,8,IT
23,2017-01-01,10:40:00,Milano,45.4654219,9.1859243,Milan,Grenoble,45.188504,5.7240917,Grenoble,31.5,373,1,3,702076523-milan-grenoble,"[Saronno, Milano, Grenoble]",manual,online,grenoble,16800,20,FR
24,2017-01-01,11:00:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Vicenza,45.5454787,11.5354214,"Vicenza, VI, Italia",13.0,207,2,3,709282894-milano-vicenza,"[Milano, Vicenza]",manual,online,vicenza,9600,11,IT
25,2017-01-01,11:00:00,Milano,45.46549,9.18588,"Milan, Italie",Berna,46.948034,7.4472175,"Berne, Suisse",26.5,355,2,3,683978506-milan-berne,"[Milano, Berna]",manual,online,berna,17400,19,CH
26,2017-01-01,11:00:42,Milano,45.4654219,9.1859243,"Milano, Italia",Caserta,41.0723484,14.3311337,"81100 Caserta CE, Italia",34.0,748,2,2,702175823-milano-caserta,"[Milano, Caserta]",manual,online,caserta,29400,41,IT
27,2017-01-01,11:00:57,Milano,45.47903,9.1443735,"Lotto M1-M5, Milan",Schorndorf,48.8015423,9.52962,"Schorndorf, Deutschland",28.5,502,3,3,705869148-mailand-schorndorf,"[Milano, Schorndorf]",auto,online,schorndorf,24600,28,DE
28,2017-01-01,11:10:00,Milano,45.4654219,9.1859243,"Milano, MI",Como,45.8150149,9.0841481,"Piazza Giacomo Matteotti, Como, CO",7.5,52,1,3,710166949-milano-como,"[Parma, Milano, Como]",auto,online,como,4200,2,IT
29,2017-01-01,11:10:28,Milano,45.465423584,9.18592453,Milano,Chivasso,45.1900384,7.888952,"Chivasso, TO, Italia",8.5,123,2,2,709003919-milano-chivasso,"[Chiasso, Milano, Chivasso, Torino]",manual,online,chivasso,6000,6,IT
30,2017-01-01,11:30:26,Milano,45.4589553,9.1702658,"Piazza Sant'Agostino, 20123 Milano, Italia",Udine,46.0559417,13.241578,"Stazione ferroviaria, Udine",21.5,392,1,2,709786679-milano-udine,"[Milano, Udine]",auto,online,udine,15600,20,IT
31,2017-01-01,12:00:00,Milano,45.46549,9.18588,"Milano, MI",Ponte Di Legno,46.2602731,10.5090969,"Ponte di Legno, BS",10.5,166,4,4,708916524-milano-ponte-di-legno,"[Milano, Ponte Di Legno]",manual,online,ponte di legno,11400,9,IT
32,2017-01-01,12:00:00,Milano,45.4654219,9.1859243,Milan,Belfort,47.639674,6.863849,Belfort,35.0,413,2,2,709573404-milan-belfort,"[Milano, Belfort]",auto,online,belfort,19200,22,FR
33,2017-01-01,12:00:00,Milano,45.46549,9.18588,"Mailand, Italien",Monaco Di Baviera,48.1351253,11.5819806,München,41.5,496,1,1,710736244-mailand-muenchen,"[Milano, Monaco Di Baviera, Berlino]",manual,online,monaco di baviera,22800,27,DE
34,2017-01-01,12:00:06,Milano,45.4873878,9.2152204,"Loreto, Milano, Italia",Torino,45.074091,7.668519,"Porta Susa, Turin",6.5,145,2,2,706793193-milano-torino,"[Milano, Torino, Vénosc]",manual,online,torino,7200,8,IT
35,2017-01-01,12:00:57,Milano,45.4372427,9.1681331,"Famagosta, 20142 Milano, Italia",Genova,44.4285278,8.8114707,"Pegli, Genova, Italia",8.5,146,4,4,706012468-milano-genova,"[Milano, Genova]",manual,online,genova,9000,8,IT
36,2017-01-01,12:10:00,Milano,45.46549,9.18588,"Mailand, Italien",Friburgo In Brisgovia,47.9982792,7.8420242,"Hauptbahnhof, Freiburg",28.5,408,1,2,700251675-mailand-freiburg-im-breisgau,"[Venezia, Milano, Friburgo In Brisgovia]",manual,online,friburgo in brisgovia,19200,22,DE
37,2017-01-01,12:30:00,Milano,45.46549,9.18588,"Milan, Italie",Torino,45.070312,7.6868565,Turin,6.5,146,2,3,681799606-milan-turin,"[Milano, Torino, Lione]",auto,online,torino,7200,8,IT
38,2017-01-01,12:50:59,Milano,45.4654219,9.1859243,Milano,Lugano,46.0036778,8.951052,"Lugano, Svizzera",6.5,80,3,3,710798939-milano-lugano,"[Genova, Milano, Lugano, Basilea]",manual,online,lugano,5400,4,CH
39,2017-01-01,13:00:00,Milano,45.4654219,9.1859243,"Milano, MI",Torino,45.0702542,7.6865394,"Torino, TO",6.5,144,1,1,706203073-milano-torino,"[Treviso, Milano, Torino]",auto,online,torino,7200,8,IT
40,2017-01-01,13:00:00,Milano,45.4856799,9.2037979,"Milano Centrale, Milano, MI",Torino,45.0716228,7.6659039,"Torino Porta Susa, Corso Bolzano, Torino, TO",8.5,145,1,1,705281488-milano-torino,"[Milano, Torino]",manual,online,torino,7200,8,IT
41,2017-01-01,13:00:00,Milano,45.4378955,9.1671754,"Famagosta m2, Milano, MI",Bologna,44.5164614,11.3598671,"Via Stalingrado, Bologna, BO",13.0,217,2,3,708245731-milano-bologna,"[Milano, Bologna, Terni]",auto,online,bologna,10200,11,IT
42,2017-01-01,13:20:11,Milano,45.4654219,9.1859243,"Milan, Italie",Lucerna,47.0501682,8.3093072,"Lucerne, Suisse",20.5,245,1,3,710153739-milan-lucerne,"[Brescia, Milano, Lucerna, Friburgo]",auto,online,lucerna,12000,13,CH
43,2017-01-01,13:20:25,Milano,45.4654219,9.1859243,"Milano, Italia",Montecampione,45.8280862,10.1878166,"Via Plan di Montecampione, 25040 Montecampione BS, Italia",7.5,110,3,3,710776379-milano-montecampione,"[Arese, Milano, Montecampione]",manual,online,montecampione,9000,7,IT
44,2017-01-01,13:30:00,Milano,45.4654219,9.1859243,"Milano, MI, Italia",Firenze,43.7695604,11.2558136,"Firenze, FI, Italia",23.0,306,3,3,710613924-milano-firenze,"[Milano, Firenze]",manual,online,firenze,13800,17,IT
45,2017-01-01,14:00:00,Milano,45.46549,9.18588,Milano,Parma,44.801485,10.3279036,"Parma, PR",8.5,132,1,3,704628998-milano-parma,"[Milano, Parma, Lido Di Volano]",manual,online,parma,6600,7,IT
46,2017-01-01,14:00:00,Milano,45.4654219,9.1859243,"Milan, Italie",Cavaillon,43.8365319,5.0407814,Cavaillon,44.5,547,3,3,705909568-milan-cavaillon,"[Milano, Cavaillon]",auto,online,cavaillon,23400,30,FR
47,2017-01-01,14:00:00,Milano,45.484579,9.204914,"Stazione Centrale, Milan",Vitoria-Gasteiz,42.8591656,-2.6817918,Vitoria-Gasteiz,88.5,1319,3,3,630791355-milan-vitoria-gasteiz,"[Milano, Vitoria-Gasteiz]",manual,online,vitoria-gasteiz,51600,72,ES
48,2017-01-01,14:00:21,Milano,45.4654219,9.1859243,"Milan, Italie",Lucerna,47.0501682,8.3093072,"Lucerne, Suisse",17.5,245,2,2,710888484-milan-lucerne,"[Milano, Lucerna, Montbéliard]",manual,online,lucerna,12000,13,CH
49,2017-01-01,14:30:00,Milano,45.4654219,9.1859243,"Milano, MI",Chiavari,44.3168017,9.3200782,"Chiavari, GE",10.5,171,1,3,709734554-milano-chiavari,"[Milano, Chiavari]",manual,online,chiavari,10200,9,IT
50,2017-01-01,14:30:00,Milano,45.46549,9.18588,"Milano, MI",Treviso,45.6668893,12.2430437,"Treviso, TV",17.5,286,3,3,710528599-milano-treviso,"[Milano, Treviso]",manual,online,treviso,12600,15,IT
