,Unnamed: 0,link,dep_day,dep_time,dep_city,dep_lat,dep_long,dep_addr,arr_city,arr_lat,arr_long,arr_addr,price,distance,seatsleft,seats,trip_id,stops,bookmode,booktype,arr_city_name
0,0,https://www.blablacar.it/passaggio-milano-padova-753346500,2017-03-01,00:00:00,Milano,45.4654219,9.1859243,"Milano, Italia",Padova,45.4064349,11.8767611,"Padova PD, Italia",15.0,246,2,2,753346500-milano-padova,"[Milano, Padova]",manual,online,Padova
1,1,https://www.blablacar.it/passaggio-milano-torino-753786755,2017-03-01,00:40:00,Milano,45.4654219,9.1859243,"Milano, MI",Torino,45.070312,7.6868565,"Torino, TO",12.0,145,2,2,753786755-milano-torino,"[Travesio, Milano, Torino, Saint-Genis-Laval]",auto,online,Torino
2,2,https://www.blablacar.it/passaggio-mailand-genua-752507140,2017-03-01,01:10:33,Milano,45.4654219,9.1859243,"Mailand, Italien",Genova,44.4056499,8.946256,"Genua, Italien",12.0,148,4,4,752507140-mailand-genua,"[Friburgo In Brisgovia, Milano, Genova, Varazze]",manual,online,Genova
3,3,https://www.blablacar.it/passaggio-milano-torino-753896395,2017-03-01,04:30:00,Milano,45.4839709,9.2060969,"Centrale, Milano, Italia",Torino,45.074091,7.668519,Porta Susa,9.5,145,4,4,753896395-milano-torino,"[Milano, Torino]",auto,online,Torino
4,4,https://www.blablacar.it/passaggio-milano-firenze-752017635,2017-03-01,04:30:00,Milano,45.4654219,9.1859243,"Milano, MI",Firenze,43.7695604,11.2558136,"Firenze, FI",29.5,318,3,3,752017635-milano-firenze,"[Milano, Firenze, Catanzaro]",manual,online,Firenze
5,5,https://www.blablacar.it/passaggio-milano-basilea-751486830,2017-03-01,05:00:00,Milano,45.4654,9.18592,"Milano, Italia",Basilea,47.5596,7.58858,"Basilea, Svizzera",23.0,343,3,3,751486830-milano-basilea,"[Milano, Basilea]",manual,online,Basilea
6,6,https://www.blablacar.it/passaggio-milano-rimini-751590335,2017-03-01,06:10:00,Milano,45.4654219,9.1859243,"Milano, MI",Rimini,44.0678288,12.5695158,Rimini,20.5,333,3,3,751590335-milano-rimini,"[Milano, Rimini, Recanati]",manual,online,Rimini
7,7,https://www.blablacar.it/passaggio-milano-bologna-752354030,2017-03-01,06:30:00,Milano,45.480033875,9.142841339,"Piazzale Lorenzo Lotto, Milano, Italia",Bologna,44.504795074,11.344625473,"Bologna Stazione Centrale, 40121 Bologna, Italia",20.5,221,4,4,752354030-milano-bologna,"[Milano, Bologna]",auto,online,Bologna
8,8,https://www.blablacar.it/passaggio-milano-treviso-752518365,2017-03-01,06:30:31,Milano,45.4654219,9.1859243,"Milano, Italia",Treviso,45.6668893,12.2430437,Treviso,20.5,286,3,3,752518365-milano-treviso,"[Milano, Treviso, Conegliano]",auto,online,Treviso
9,9,https://www.blablacar.it/passaggio-milano-aeroporto-internazionale-di-orio-al-serio-bgy-via-aeroporto-745101570,2017-03-01,06:40:00,Milano,45.4654219,9.1859243,"Milano, Italia","Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto,",45.6695707,9.7036313,"Aeroporto Internazionale di Orio al Serio (BGY), Via Aeroporto,",5.5,52,3,3,745101570-milano-aeroporto-internazionale-di-orio-al-serio-bgy-via-aeroporto,[Milano],manual,online,Orio al Serio
10,10,https://www.blablacar.it/passaggio-milano-legnano-753177240,2017-03-01,06:40:33,Milano,45.4611912,9.163798,"Piazzale Aquileia, Milano, Italia",Legnano,45.5926654,8.9206733,"Piazza Carroccio, 20025 Legnano MI, Italia",3.0,28,3,3,753177240-milano-legnano,"[Milano, Legnano]",manual,online,Legnano
11,11,https://www.blablacar.it/passaggio-milano-carpi-753061165,2017-03-01,07:00:00,Milano,45.480773926,9.225362778,"Piola m2, 20131 Milano, Italia",Carpi,44.783878326,10.879662514,"41012 Carpi MO, Italia",14.0,182,3,3,753061165-milano-carpi,"[Milano, Carpi]",auto,online,Carpi
12,12,https://www.blablacar.it/passaggio-milano-scandicci-751352930,2017-03-01,07:00:00,Milano,45.4437333,9.1676768,Milano Metropolitana Romolo,Scandicci,43.7542169,11.1922839,Scandicci Capolinea della tramvia,23.0,302,4,4,751352930-milano-scandicci,"[Milano, Scandicci]",auto,online,Scandicci
13,13,https://www.blablacar.it/passaggio-milano-alessandria-753639780,2017-03-01,07:00:39,Milano,45.437393188,9.168777466,"Famagosta M2, Milano",Alessandria,44.9072727,8.6116796,"Alessandria AL, Italia",6.5,86,4,4,753639780-milano-alessandria,"[Milano, Alessandria]",auto,online,Alessandria
14,14,https://www.blablacar.it/passaggio-milano-novara-753816285,2017-03-01,07:00:50,Milano,45.4552055,9.1624569,"Via Andrea Solari, Milano, Italia",Novara,45.451137,8.623754,"Novara Stazione FS, 28100 Novara NO, Italia",3.0,53,3,3,753816285-milano-novara,"[Milano, Novara]",manual,online,Novara
15,15,https://www.blablacar.it/passaggio-milano-modena-753461270,2017-03-01,07:00:50,Milano,45.437728,9.168557,"Famagosta M2, 20142 Milano, Italia",Modena,44.6313443,10.940836,"Via Vignolese, Modena MO, Italia",8.5,185,3,3,753461270-milano-modena,"[Milano, Modena]",manual,online,Modena
16,16,https://www.blablacar.it/passaggio-milano-genova-753734570,2017-03-01,07:20:00,Milano,45.485833,9.1374981,"Qt8 M1, Milano, MI",Genova,44.4168921,8.9215322,"Genova Piazza Principe, Genova, GE",7.5,145,1,2,753734570-milano-genova,"[Milano, Genova]",auto,online,Genova
