"","country","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"1","FR",13,13,13,12,11,11,13
"2","CH",13,13,13,13,12,12,13
"3","AT",1,0,0,3,8,4,5
"4","BE",1,1,4,3,3,1,2
"5","DE",13,11,10,10,10,9,13
"6","ES",2,0,1,2,3,3,4
"7","PL",1,0,0,0,0,0,0
"8","RO",1,10,2,0,4,8,0
"9","GB",0,1,0,3,0,1,1
"10","MC",4,1,4,2,8,3,3
"11","LU",0,0,0,1,0,1,2
"12","NL",2,3,1,2,0,0,1
"13","HR",0,1,1,3,2,2,3
"14","SI",0,1,1,0,1,3,0
"15","SM",0,0,0,0,0,1,7
"16","SE",1,0,0,0,0,0,0
"17","UA",0,0,0,0,9,0,0
"18","HU",0,0,0,1,0,1,0
"19","CZ",0,0,0,0,1,1,0
"20","KO",0,0,1,0,0,0,0
"21","DK",0,0,0,0,0,1,0
"22","LI",0,0,0,0,1,0,0
"23","RS",0,0,0,1,0,0,0
